Input;Start;Finish;Input.file.size;Output.file.size
0.data/mlammers_ML01_Mai11/A006850198_172670_S267_L001_R1_001.mapped.sam;20230907080733;20230907081438;506984;2316
0.data/mlammers_ML01_Mai11/A006850198_172672_S268_L001_R1_001.mapped.sam;20230907081438;20230907082130;505984;2316
0.data/mlammers_ML01_Mai11/A006850198_172674_S269_L001_R1_001.mapped.sam;20230907082130;20230907083005;588936;2320
0.data/mlammers_ML01_Mai11/A006850198_172676_S270_L001_R1_001.mapped.sam;20230907083005;20230907083741;507284;2316
0.data/mlammers_ML01_Mai11/A006850198_172678_S271_L001_R1_001.mapped.sam;20230907083741;20230907084813;674752;2316
0.data/mlammers_ML01_Mai11/A006850198_172680_S272_L001_R1_001.mapped.sam;20230907084813;20230907085703;580600;2316
0.data/mlammers_ML01_Mai11/A006850198_172682_S273_L001_R1_001.mapped.sam;20230907085704;20230907090626;647736;2320
0.data/mlammers_ML01_Mai11/A006850198_172684_S274_L001_R1_001.mapped.sam;20230907090626;20230907091415;524348;2316
0.data/mlammers_ML01_Mai11/A006850198_172686_S275_L001_R1_001.mapped.sam;20230907091415;20230907092304;740060;2320
0.data/mlammers_ML01_Mai11/A006850198_172688_S276_L001_R1_001.mapped.sam;20230907092304;20230907093204;610460;2320
0.data/mlammers_ML01_Mai11/A006850198_172690_S277_L001_R1_001.mapped.sam;20230907093204;20230907093942;574408;2320
0.data/mlammers_ML01_Mai11/A006850198_172692_S278_L001_R1_001.mapped.sam;20230907093942;20230907094812;611996;2320
0.data/mlammers_ML01_Mai11/A006850198_172694_S279_L001_R1_001.mapped.sam;20230907094812;20230907095414;505780;2320
0.data/mlammers_ML01_Mai11/A006850198_172696_S280_L001_R1_001.mapped.sam;20230907095414;20230907100316;608972;2320
0.data/mlammers_ML01_Mai11/A006850198_172698_S281_L001_R1_001.mapped.sam;20230907100316;20230907101123;778984;2320
0.data/mlammers_ML01_Mai11/A006850198_172700_S282_L001_R1_001.mapped.sam;20230907101123;20230907101919;547324;2320
0.data/mlammers_ML01_Mai11/A006850198_172703_S283_L001_R1_001.mapped.sam;20230907101919;20230907102550;597308;2324
0.data/mlammers_ML01_Mai11/A006850198_172705_S284_L001_R1_001.mapped.sam;20230907102550;20230907103428;785708;2320
0.data/mlammers_ML01_Mai11/A006850198_172707_S285_L001_R1_001.mapped.sam;20230907103428;20230907104328;755448;2324
0.data/mlammers_ML01_Mai11/A006850198_172709_S286_L001_R1_001.mapped.sam;20230907104328;20230907105108;557336;2320
0.data/mlammers_ML01_Mai11/A006850198_172711_S287_L001_R1_001.mapped.sam;20230907105108;20230907105837;555124;2320
0.data/mlammers_ML01_Mai11/A006850198_172713_S288_L001_R1_001.mapped.sam;20230907105837;20230907110710;667244;2324
0.data/mlammers_ML01_Mai11/A006850198_172715_S289_L001_R1_001.mapped.sam;20230907110710;20230907111850;912648;2324
0.data/mlammers_ML01_Mai11/A006850198_172717_S290_L001_R1_001.mapped.sam;20230907111850;20230907112645;677004;2320
0.data/mlammers_ML01_Mai11/A006850198_172719_S291_L001_R1_001.mapped.sam;20230907112645;20230907113545;679512;2324
0.data/mlammers_ML01_Mai11/A006850198_172721_S292_L001_R1_001.mapped.sam;20230907113545;20230907114258;617636;2316
